,Full Name,Total Career Span,Career Title
367,Lance Armstrong,15,7
1218,Eddy Merckx,13,5
620,Miguel Maria Indurain Larraya,12,5
888,Bernard Hinault,11,5
1505,Jacques Anquetil,16,5
69,Chris Froome,12,4
1740,Louison Bobet,15,3
243,Alberto Contador Velasco,14,3
2409,Philippe Thys,15,3
751,Greg LeMond,13,3
2375,Firmin Lambot,11,2
1913,Gino Bartali,19,2
919,Laurent Fignon,11,2
2259,Nicolas Frantz,12,2
2115,Antonin Magne,15,2
2163,André Leducq,13,2
2325,Ottavio Bottecchia,5,2
2544,Lucien Petit-Breton,12,2
1817,Fausto Coppi,18,2
1967,Sylvère Maes,16,2
1126,Bernard Thévenet,11,2
2140,Georges Speicher,14,1
2088,Romain Maes,12,1
2031,Roger Lapébie,7,1
2235,Maurice De Waele,10,1
21,Egan Arley Bernal Gómez,3,1
2305,Lucien Buysse,20,1
2359,Henri Pélissier,17,1
2393,Léon Scieur,12,1
2478,Odiel Defraeye,10,1
2494,Gustave Garrigou,7,1
2511,Octave Lapize,5,1
2528,François Faber,8,1
2574,René Pottier,2,1
2588,Louis Trousselier,12,1
2595,Henri Cornet,8,1
1937,Jean Robic,18,1
1660,Charly Gaul,12,1
1868,Ferdi Kübler,17,1
1844,Hugo Koblet,12,1
143,Vincenzo Nibali,14,1
193,Bradley Wiggins,14,1
219,Cadel Evans,14,1
294,Carlos Sastre Candil,14,1
345,Óscar Pereiro Sio,10,1
543,Marco Pantani,11,1
569,Jan Ullrich,11,1
594,Bjarne Lykkegård Riis,13,1
803,Pedro Delgado Robledo,12,1
834,Stephen Roche,11,1
1037,Joop Zoetemelk,17,1
1158,Lucien Van Impe,18,1
1247,Luis Ocaña Pernia,9,1
1393,Jan Janssen,12,1
1421,Roger Pingeon,9,1
1449,Lucien Aimar,10,1
1476,Felice Gimondi,14,1
1609,Gastone Nencini,12,1
1634,Federico Martín Bahamontes,12,1
45,Geraint Thomas,12,1
1712,Roger Walkowiak,11,1
2602,Maurice Garin,18,1
