,city
0,
1,
2,    Binche 
3,    Reims 
4,    Saint-Dié-des-Vosges 
5,    Mulhouse 
6,    Belfort 
7,    Mâcon 
8,    Saint-Étienne 
9,    Saint-Flour 
10,    Albi 
11,    Toulouse 
12,
13,    Tarbes 
14,    Limoux 
15,
16,    Vers 
17,    Embrun 
18,    Saint-Jean-de-Maurienne 
19,    Albertville 
20,    Rambouillet 
21,
22,
23,
24,    Noirmoutier-en-l'Ile 
25,    Mouilleron 
26,    Cholet 
27,    La Baule-Escoublac 
28,    Lorient 
29,    Brest 
30,    Fougères 
31,    Dreux 
32,    Arras 
33,    Annecy 
34,    Albertville 
35,    Bourg-Saint-Maurice 
36,    Bourg d'Oisans 
37,    Saint-Paul-Trois-Châteaux 
38,    Millau 
39,    Carcassonne 
40,    Bagnères-de-Luchon 
41,    Trie-sur-Baïse 
42,    Lourdes 
43,    Saint-Pée-sur-Nivelle 
44,    Houilles 
45,    Noirmoutier-en-l'Ile 
46,    Noirmoutier-en-l'Ile 
47,    Noirmoutier-en-l'Ile 
48,    Düsseldorf 
49,    Düsseldorf 
50,    Verviers 
51,    Mondorf-les-Bains 
52,    Vittel 
53,    Vesoul 
54,    Troyes 
55,    Dole 
56,    Nantua 
57,    Périgueux 
58,    Eymet 
59,    Pau 
60,    Saint-Girons 
61,    Blagnac 
62,    Laissac 
63,    Le Puy-en Velay 
64,    La Mure 
65,    Briançon 
66,    Embrun 
67,    Marseilles 
68,    Montgeron 
69,
70,
71,
72,    Le Mont-Saint-Michel 
73,    Saint-Lô 
74,    Granville 
75,    Saumur 
76,    Limoges 
77,    Arpajon-sur-Cère 
78,    L'Isle-Jourdain 
79,    Pau 
80,    Vielha 
81,    Andorra 
82,    Carcassonne 
83,    Montpellier 
84,    Bourg-Saint-Andéol 
85,    Montélimar 
86,    Bourg-en-Bresse 
87,    Moirans-en-Montagne 
88,    Bern 
89,    Sallanches 
90,    Albertville 
91,    Megève 
92,    Chantilly 
93,
94,
95,
96,
97,    Utrecht 
98,    Utrecht 
99,    Antwerpen 
100,    Seraing 
101,    Arras 
102,    Abbeville 
103,    Livarot 
104,    Rennes 
105,    Vannes 
106,    Tarbes 
107,    Pau 
108,    Lannemezan 
109,    Muret 
110,    Rodez 
111,    Mende 
112,    Bourg-de-Péage 
113,    Digne 
114,    Gap 
115,    Saint-Jean-de-Maurienne 
116,    Modane 
117,    Sèvres 
118,
119,
120,
121,
122,    Leeds 
123,    York 
124,    Cambridge 
125,    Le Touquet-Paris-Plage 
126,    Ieper 
127,    Arras 
128,    Épernay 
129,    Tomblaine 
130,    Gérardmer 
131,    Mulhouse 
132,    Besançon 
133,    Bourg-en-Bresse 
134,    Saint-Étienne 
135,    Grenoble 
136,    Tallard 
137,    Carcassonne 
138,    Saint-Gaudens 
139,    Pau 
140,    Maubourguet 
141,    Bergerac 
