0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Name:,Mike,Family name:,Teunissen,Nationality:,The Netherlands ,Gender:, ,Age:,27  years,,,,
,Name:,Mike,Family name:,Teunissen,Nationality:,The Netherlands ,Gender:, ,Age:,27  years,,,,
,Name:,Julian,Family name:,Alaphilippe,Nationality:,France ,Gender:, ,Age:,27  years,,,,
,Name:,Elia,Family name:,Viviani,Nationality:,Italy ,Gender:, ,Age:,30  years,,,,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,,,,
,Name:,Dylan,Family name:,Teuns,Nationality:,Belgium ,Gender:, ,Age:,27  years,,,,
,Name:,Dylan,Family name:,Groenewegen,Nationality:,The Netherlands ,Gender:, ,Age:,26  years,,,,
,Name:,Thomas,Family name:,De Gendt,Nationality:,Belgium ,Gender:, ,Age:,32  years,,,,
,Name:,Daryl,Family name:,Impey,Nationality:,South Africa ,Gender:, ,Age:,34  years,,,,
,Name:,Wout,Family name:,Van Aert,Nationality:,Belgium ,Gender:, ,Age:,24  years,,,,
,Name:,Caleb,Family name:,Ewan,Nationality:,Australia ,Gender:, ,Age:,25  years,,,,
,Name:,Simon,Family name:,Yates,Nationality:,Great Britain ,Gender:, ,Age:,27  years,,,,
,Name:,Julian,Family name:,Alaphilippe,Nationality:,France ,Gender:, ,Age:,27  years,,,,
,Name:,Thibaut,Family name:,Pinot,Nationality:,France ,Gender:, ,Age:,29  years,,,,
,Name:,Simon,Family name:,Yates,Nationality:,Great Britain ,Gender:, ,Age:,27  years,,,,
,Name:,Caleb,Family name:,Ewan,Nationality:,Australia ,Gender:, ,Age:,25  years,,,,
,Name:,Matteo,Family name:,Trentin,Nationality:,Italy ,Gender:, ,Age:,30  years,,,,
,Name:,Nairo Alexander,Family name:,Quintana Rojas,Nationality:,Colombia ,Gender:, ,Age:,29  years,,,,
,Name:,Egan Arley,Family name:,Bernal Gómez,Nationality:,Colombia ,Gender:, ,Age:,22  years,,,,
,Name:,Vincenzo,Family name:,Nibali,Nationality:,Italy ,Gender:, ,Age:,34  years,,,,
,Name:,Caleb,Family name:,Ewan,Nationality:,Australia ,Gender:, ,Age:,25  years,,,,
,Name:,Egan Arley,Family name:,Bernal Gómez,Nationality:,Colombia ,Gender:, ,Age:,22  years,,,,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,,,,
,Name:,Romain,Family name:,Bardet,Nationality:,France ,Gender:, ,Age:,28  years,,,,
,Name:,Fernando,Family name:,Gaviria Rendon,Nationality:,Colombia ,Gender:, ,Age:,25  years,,,,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,,,,
