,Date
0,2019-06-07
1,2019-07-07
2,2019-08-07
3,2019-09-07
4,2019-10-07
5,2019-11-07
6,2019-12-07
7,2019-07-13
8,2019-07-14
9,2019-07-15
10,2019-07-17
11,2019-07-18
12,2019-07-19
13,2019-07-20
14,2019-07-21
15,2019-07-23
16,2019-07-24
17,2019-07-25
18,2019-07-26
19,2019-07-27
20,2019-07-28
21,2019-07-28
22,2019-07-28
23,2019-07-28
24,2018-07-07
25,2018-08-07
26,2018-09-07
27,2018-10-07
28,2018-11-07
29,2018-12-07
30,2018-07-13
31,2018-07-14
32,2018-07-15
33,2018-07-17
34,2018-07-18
35,2018-07-19
36,2018-07-20
37,2018-07-21
38,2018-07-22
39,2018-07-24
40,2018-07-25
41,2018-07-26
42,2018-07-27
43,2018-07-28
44,2018-07-29
45,2018-07-29
46,2018-07-29
47,2018-07-29
48,2017-01-07
49,2017-02-07
50,2017-03-07
51,2017-04-07
52,2017-05-07
53,2017-06-07
54,2017-07-07
55,2017-08-07
56,2017-09-07
57,2017-11-07
58,2017-12-07
59,2017-07-13
60,2017-07-14
61,2017-07-15
62,2017-07-16
63,2017-07-18
64,2017-07-19
65,2017-07-20
66,2017-07-21
67,2017-07-22
68,2017-07-23
69,2017-07-23
70,2017-07-23
71,2017-07-23
72,2016-02-07
73,2016-03-07
74,2016-04-07
75,2016-05-07
76,2016-06-07
77,2016-07-07
78,2016-08-07
79,2016-09-07
80,2016-10-07
81,2016-12-07
82,2016-07-13
83,2016-07-14
84,2016-07-15
85,2016-07-16
86,2016-07-17
87,2016-07-18
88,2016-07-20
89,2016-07-21
90,2016-07-22
91,2016-07-23
92,2016-07-24
93,2016-07-24
94,2016-07-24
95,2016-07-24
96,2016-07-24
97,2015-04-07
98,2015-05-07
99,2015-06-07
100,2015-07-07
101,2015-08-07
102,2015-09-07
103,2015-10-07
104,2015-11-07
105,2015-12-07
106,2015-07-14
107,2015-07-15
108,2015-07-16
109,2015-07-17
110,2015-07-18
111,2015-07-19
112,2015-07-20
113,2015-07-22
114,2015-07-23
115,2015-07-24
116,2015-07-25
117,2015-07-26
118,2015-07-26
119,2015-07-26
120,2015-07-26
121,2015-07-26
122,2014-05-07
123,2014-06-07
124,2014-07-07
125,2014-08-07
126,2014-09-07
127,2014-10-07
128,2014-11-07
129,2014-12-07
130,2014-07-13
131,2014-07-14
132,2014-07-16
133,2014-07-17
134,2014-07-18
135,2014-07-19
136,2014-07-20
137,2014-07-22
138,2014-07-23
139,2014-07-24
140,2014-07-25
141,2014-07-26
142,2014-07-27
143,2014-07-27
144,2014-07-27
145,2014-07-27
146,2014-07-27
147,2013-06-29
148,2013-06-30
149,2013-01-07
150,2013-02-07
151,2013-03-07
152,2013-04-07
153,2013-05-07
154,2013-06-07
155,2013-07-07
156,2013-09-07
157,2013-10-07
158,2013-11-07
159,2013-12-07
160,2013-07-13
161,2013-07-14
162,2013-07-16
163,2013-07-17
164,2013-07-18
165,2013-07-19
166,2013-07-20
167,2013-07-21
168,2013-07-21
169,2013-07-21
170,2013-07-21
171,2013-07-21
172,2012-06-30
173,2012-01-07
174,2012-02-07
175,2012-03-07
176,2012-04-07
177,2012-05-07
178,2012-06-07
179,2012-07-07
180,2012-08-07
181,2012-09-07
182,2012-11-07
183,2012-12-07
184,2012-07-13
185,2012-07-14
186,2012-07-15
187,2012-07-16
188,2012-07-18
189,2012-07-19
190,2012-07-20
191,2012-07-21
192,2012-07-22
193,2012-07-22
194,2012-07-22
195,2012-07-22
196,2012-07-22
197,2011-02-07
198,2011-03-07
199,2011-04-07
200,2011-05-07
201,2011-06-07
202,2011-07-07
203,2011-08-07
204,2011-09-07
205,2011-10-07
206,2011-12-07
207,2011-07-13
208,2011-07-14
209,2011-07-15
210,2011-07-16
211,2011-07-17
212,2011-07-19
213,2011-07-20
214,2011-07-21
215,2011-07-22
216,2011-07-23
217,2011-07-24
218,2011-07-24
219,2011-07-24
220,2011-07-24
221,2011-07-24
222,2010-03-07
223,2010-04-07
224,2010-05-07
225,2010-06-07
226,2010-07-07
227,2010-08-07
228,2010-09-07
229,2010-10-07
230,2010-11-07
231,2010-07-13
232,2010-07-14
233,2010-07-15
234,2010-07-16
235,2010-07-17
236,2010-07-18
237,2010-07-19
238,2010-07-20
239,2010-07-22
240,2010-07-23
241,2010-07-24
242,2010-07-25
243,2010-07-25
244,2010-07-25
245,2010-07-25
246,2010-07-25
247,2009-04-07
248,2009-05-07
249,2009-06-07
250,2009-07-07
251,2009-08-07
252,2009-09-07
253,2009-10-07
254,2009-11-07
255,2009-12-07
256,2009-07-14
257,2009-07-15
258,2009-07-16
259,2009-07-17
260,2009-07-18
261,2009-07-19
262,2009-07-21
263,2009-07-22
264,2009-07-23
265,2009-07-24
266,2009-07-25
267,2009-07-26
268,2009-07-26
269,2009-07-26
270,2009-07-26
271,2009-07-26
272,2008-05-07
273,2008-06-07
274,2008-07-07
275,2008-08-07
276,2008-09-07
277,2008-10-07
278,2008-11-07
279,2008-12-07
280,2008-07-13
281,2008-07-14
282,2008-07-16
283,2008-07-17
284,2008-07-18
285,2008-07-19
286,2008-07-20
287,2008-07-22
288,2008-07-23
289,2008-07-24
290,2008-07-25
291,2008-07-26
292,2008-07-27
293,2008-07-27
294,2008-07-27
295,2008-07-27
296,2008-07-27
297,2007-07-07
298,2007-08-07
299,2007-09-07
300,2007-10-07
301,2007-11-07
302,2007-12-07
303,2007-07-13
304,2007-07-14
305,2007-07-15
306,2007-07-17
307,2007-07-18
308,2007-07-19
309,2007-07-20
310,2007-07-21
311,2007-07-22
312,2007-07-23
313,2007-07-25
314,2007-07-26
315,2007-07-27
316,2007-07-28
317,2007-07-29
318,2007-07-29
319,2007-07-29
320,2007-07-29
321,2006-01-07
322,2006-02-07
323,2006-03-07
324,2006-04-07
325,2006-05-07
326,2006-06-07
327,2006-07-07
328,2006-08-07
329,2006-09-07
330,2006-11-07
331,2006-12-07
332,2006-07-13
333,2006-07-14
334,2006-07-15
335,2006-07-16
336,2006-07-18
337,2006-07-19
338,2006-07-20
339,2006-07-21
340,2006-07-22
341,2006-07-23
342,2006-07-23
343,2006-07-23
344,2006-07-23
345,2006-07-23
346,2005-02-07
347,2005-03-07
348,2005-04-07
349,2005-05-07
350,2005-06-07
351,2005-07-07
352,2005-08-07
353,2005-09-07
354,2005-10-07
355,2005-12-07
356,2005-07-13
357,2005-07-14
358,2005-07-15
359,2005-07-16
360,2005-07-17
361,2005-07-19
362,2005-07-20
363,2005-07-21
364,2005-07-22
365,2005-07-23
366,2005-07-24
367,2005-07-24
368,2005-07-24
369,2005-07-24
370,2005-07-24
371,2004-03-07
372,2004-04-07
373,2004-05-07
374,2004-06-07
375,2004-07-07
376,2004-08-07
377,2004-09-07
378,2004-10-07
379,2004-11-07
380,2004-07-13
381,2004-07-14
382,2004-07-15
383,2004-07-16
384,2004-07-17
385,2004-07-18
386,2004-07-20
387,2004-07-21
388,2004-07-22
389,2004-07-23
390,2004-07-24
391,2004-07-25
392,2004-07-25
393,2004-07-25
394,2004-07-25
395,2004-07-25
396,2003-05-07
397,2003-06-07
398,2003-07-07
399,2003-08-07
400,2003-09-07
401,2003-10-07
402,2003-11-07
403,2003-12-07
404,2003-07-13
405,2003-07-14
406,2003-07-15
407,2003-07-17
408,2003-07-18
409,2003-07-19
410,2003-07-20
411,2003-07-21
412,2003-07-23
413,2003-07-24
414,2003-07-25
415,2003-07-26
416,2003-07-27
417,2003-07-27
418,2003-07-27
419,2003-07-27
420,2003-07-27
421,2002-06-07
422,2002-07-07
423,2002-08-07
424,2002-09-07
425,2002-10-07
426,2002-11-07
427,2002-12-07
428,2002-07-13
429,2002-07-14
430,2002-07-15
431,2002-07-17
432,2002-07-18
433,2002-07-19
434,2002-07-20
435,2002-07-21
436,2002-07-23
437,2002-07-24
438,2002-07-25
439,2002-07-26
440,2002-07-27
441,2002-07-28
442,2002-07-28
443,2002-07-28
444,2002-07-28
445,2002-07-28
446,2001-07-07
447,2001-08-07
448,2001-09-07
449,2001-10-07
450,2001-11-07
451,2001-12-07
452,2001-07-13
453,2001-07-14
454,2001-07-15
455,2001-07-16
456,2001-07-17
457,2001-07-18
458,2001-07-20
459,2001-07-21
460,2001-07-22
461,2001-07-24
462,2001-07-25
463,2001-07-26
464,2001-07-27
465,2001-07-28
466,2001-07-29
467,2001-07-29
468,2001-07-29
469,2001-07-29
470,2001-07-29
471,2000-01-07
472,2000-02-07
473,2000-03-07
474,2000-04-07
475,2000-05-07
476,2000-06-07
477,2000-07-07
478,2000-08-07
479,2000-09-07
480,2000-10-07
481,2000-11-07
482,2000-07-13
483,2000-07-14
484,2000-07-15
485,2000-07-16
486,2000-07-18
487,2000-07-19
488,2000-07-20
489,2000-07-21
490,2000-07-22
491,2000-07-23
492,2000-07-23
493,2000-07-23
494,2000-07-23
495,1999-03-07
496,1999-04-07
497,1999-05-07
498,1999-06-07
499,1999-07-07
500,1999-08-07
501,1999-09-07
502,1999-10-07
503,1999-11-07
504,1999-07-13
505,1999-07-14
506,1999-07-15
507,1999-07-16
508,1999-07-17
509,1999-07-18
510,1999-07-20
511,1999-07-21
512,1999-07-22
513,1999-07-23
514,1999-07-24
515,1999-07-25
516,1999-07-25
517,1999-07-25
518,1999-07-25
519,1998-11-07
520,1998-12-07
521,1998-07-13
522,1998-07-14
523,1998-07-15
524,1998-07-16
525,1998-07-17
526,1998-07-18
527,1998-07-19
528,1998-07-20
529,1998-07-21
530,1998-07-22
531,1998-07-24
532,1998-07-25
533,1998-07-26
534,1998-07-27
535,1998-07-28
536,1998-07-29
537,1998-07-30
538,1998-07-31
539,1998-01-08
540,1998-02-08
541,1998-02-08
542,1998-02-08
543,1998-02-08
544,1998-02-08
545,1997-05-07
546,1997-06-07
547,1997-07-07
548,1997-08-07
549,1997-09-07
550,1997-10-07
551,1997-11-07
552,1997-12-07
553,1997-07-13
554,1997-07-14
555,1997-07-15
556,1997-07-16
557,1997-07-18
558,1997-07-19
559,1997-07-20
560,1997-07-21
561,1997-07-22
562,1997-07-23
563,1997-07-24
564,1997-07-25
565,1997-07-26
566,1997-07-27
567,1997-07-27
568,1997-07-27
569,1997-07-27
570,1997-07-27
571,1996-06-29
572,1996-06-30
573,1996-01-07
574,1996-02-07
575,1996-03-07
576,1996-04-07
577,1996-05-07
578,1996-06-07
579,1996-07-07
580,1996-08-07
581,1996-09-07
582,1996-11-07
583,1996-12-07
584,1996-07-13
585,1996-07-14
586,1996-07-15
587,1996-07-16
588,1996-07-17
589,1996-07-18
590,1996-07-19
591,1996-07-20
592,1996-07-21
593,1996-07-21
594,1996-07-21
595,1996-07-21
596,1996-07-21
597,1995-01-07
598,1995-02-07
599,1995-03-07
600,1995-04-07
601,1995-05-07
602,1995-06-07
603,1995-07-07
604,1995-08-07
605,1995-09-07
606,1995-11-07
607,1995-12-07
608,1995-07-13
609,1995-07-14
610,1995-07-15
611,1995-07-16
612,1995-07-18
613,1995-07-19
614,1995-07-20
615,1995-07-21
616,1995-07-22
617,1995-07-23
618,1995-07-23
619,1995-07-23
620,1995-07-23
621,1995-07-23
622,1994-02-07
623,1994-03-07
624,1994-04-07
625,1994-05-07
626,1994-06-07
627,1994-07-07
628,1994-08-07
629,1994-09-07
630,1994-10-07
631,1994-11-07
632,1994-12-07
633,1994-07-13
634,1994-07-15
635,1994-07-16
636,1994-07-17
637,1994-07-18
638,1994-07-19
639,1994-07-20
