,Full Name,Total Career Span,Count_Column,Date,Stage,Distance Covered in km,Type,Departure,Arrival,Category UCI,Name,Family Name,Nationality,Dual National,Native Country,NC-From,NC-To,Adopted Country,AC-From,AC-To,Age,Date of Birth,City of Birth,Country of Birth,Date of Death,City of Death,Country of Death,1st Innings From,1st Innings To,2nd Innings From,2nd Innings To,3rd Innings From,3rd Innings To,Career Span,1st Gap,2nd Innings Span,2nd Gap,3rd Innings Span
0,Alberto Contador Velasco,14,3,2010-07-25,Total Distance,0.0,General Classification,,,2.WT/WT/HC,Alberto,Contador Velasco,Spain ,N,,1982-06-12,,,,,36  years,1982-06-12,Madrid (Madrid), Spain ,,,,2003,2017,0,0,0,0,14,0,0,0,0
1,André Leducq,13,2,1932-07-31,Total Distance,4520.0,General Classification,,"Paris (Ile-de-France), France",,André,Leducq,France ,N,,1904-02-27,,,,,76 years,1904-02-27,Saint-Ouen (Ile-de-France), France ,18-06-1980,    Marseille (Provence-Alpes-Cote d'Azur), France,1926,1939,0,0,0,0,13,0,0,0,0
2,Antonin Magne,15,2,1934-07-29,Total Distance,4363.0,General Classification,,"Paris (Ile-de-France), France",,Antonin,Magne,France ,N,,1904-02-15,,,,,79 years,1904-02-15,Ytrac (Auvergne), France ,08-09-1983,    Arcachon (Aquitaine), France,1926,1941,0,0,0,0,15,0,0,0,0
3,Bernard Hinault,11,5,1985-07-21,Total Distance,4107.0,General Classification,"    Plumelec (Bretagne), France ","Paris (Ile-de-France), France",,Bernard,Hinault,France ,N,,1954-11-14,,,,,64  years,1954-11-14,Yffiniac (Bretagne), France ,,,,1975,1986,0,0,0,0,11,0,0,0,0
4,Bernard Thévenet,11,2,1977-07-24,Total Distance,4092.0,General Classification,"    Fleurance (Midi-Pyrenees), France ","Paris (Ile-de-France), France",,Bernard,Thévenet,France ,N,,1948-10-01,,,,,71  years,1948-10-01,Saint-Julien-de-Civry (Bourgogne), France ,,,,1970,1981,0,0,0,0,11,0,0,0,0
5,Bjarne Lykkegård Riis,13,1,1996-07-21,Total Distance,3765.0,General Classification,"    's-Hertogenbosch (Noord-Brabant), The Netherlands ","Paris (Ile-de-France), France",,Bjarne,Lykkegård Riis,Denmark ,N,,1964-03-04,,,,,55  years,1964-03-04,Herning (Midtjyllen), Denmark ,,,,1986,1999,0,0,0,0,13,0,0,0,0
6,Bradley Wiggins,14,1,2012-07-22,Total Distance,0.0,General Classification,,,WT/WT/GT,Bradley,Wiggins,Great Britain ,N,,1980-04-28,,,,,39  years,1980-04-28,Gent (Oost-Vlaanderen), Belgium ,,,,2002,2016,0,0,0,0,14,0,0,0,0
7,Cadel Evans,14,1,2011-07-24,Total Distance,0.0,General Classification,,,2.WT/WT/HC,Cadel,Evans,Australia ,N,,1977-02-14,,,,,42  years,1977-02-14,Katherine (Northern Territory), Australia ,,,,2001,2015,0,0,0,0,14,0,0,0,0
8,Carlos Sastre Candil,14,1,2008-07-27,Total Distance,0.0,General Classification,,,NE,Carlos,Sastre Candil,Spain ,N,,1975-04-23,,,,,44  years,1975-04-23,Madrid (Madrid), Spain ,,,,1997,2011,0,0,0,0,14,0,0,0,0
9,Charly Gaul,12,1,1958-07-19,Total Distance,4319.0,General Classification,,"Paris (Ile-de-France), France",,Charly,Gaul,Luxemburg ,N,,1932-08-12,,,,,72 years,1932-08-12,Pfaffental (Diekirch), Luxemburg ,06-12-2005,    Itzig (Luxembourg), Luxemburg,1953,1965,0,0,0,0,12,0,0,0,0
