,Stage,Distance Covered in km,Stage Number
79,Prologue,6.780769230769231,0
3,1  part  c,74.5,1
0,1 ,224.78817204301075,1
1,1  part  a,96.6826923076923,1
2,1  part  b,77.16923076923077,1
42,2  part  b,75.4,2
40,2 ,223.05588235294118,2
41,2  part  a,102.25,2
56,3 ,229.812,3
57,3  part  a,71.0,3
58,3  part  b,92.5,3
62,4  part  c,83.0,4
61,4  part  b,113.0,4
60,4  part  a,29.166666666666668,4
59,4 ,218.7,4
63,5 ,239.02164948453606,5
64,5  part  a,143.53333333333333,5
65,5  part  b,65.56666666666666,5
66,5  part  c,93.0,5
67,6 ,227.28346534653463,6
68,6  part  a,136.3,6
69,6  part  b,89.0,6
72,7  part  b,63.425,7
71,7  part  a,102.5,7
70,7 ,224.227,7
73,8 ,211.138,8
74,8  part  a,127.575,8
75,8  part  b,100.0,8
77,9  part  a,100.0,9
78,9  part  b,87.95,9
76,9 ,216.30882352941177,9
7,10  part  c,71.75,10
4,10 ,217.34356435643565,10
5,10  part  a,133.0,10
6,10  part  b,24.933333333333334,10
8,11 ,212.0176470588235,11
9,11  part  a,88.9,11
10,11  part  b,102.25,11
11,12 ,227.7908163265306,12
13,12  part  b,95.5,12
12,12  part  a,112.46,12
14,13 ,211.13434343434344,13
15,13  part  a,84.25,13
16,13  part  b,82.625,13
17,14 ,219.940206185567,14
18,14  part  a,100.0,14
19,14  part  b,79.2,14
20,14  part  c,167.0,14
21,15 ,211.90103092783508,15
23,15  part  b,11.9,15
22,15  part  a,151.0,15
24,16 ,193.54000000000002,16
25,16  part  a,160.33333333333334,16
26,16  part  b,44.800000000000004,16
27,16  part  c,103.5,16
28,17 ,194.92176470588234,17
29,17  part  a,146.16666666666666,17
30,17  part  b,79.83333333333333,17
31,17  part  c,67.0,17
33,18  part  a,107.75,18
32,18 ,180.63456790123456,18
34,18  part  b,114.58333333333333,18
35,18  part  c,70.5,18
39,19  part  c,67.0,19
38,19  part  b,57.85,19
37,19  part  a,117.875,19
36,19 ,161.85802469135803,19
46,20  part  c,107.0,20
45,20  part  b,56.36666666666667,20
44,20  part  a,92.83333333333333,20
43,20 ,158.03037974683545,20
49,21  part  b,66.5,21
48,21  part  a,109.16666666666667,21
47,21 ,188.0742424242424,21
52,22  part  b,56.9,22
51,22  part  a,84.71428571428571,22
50,22 ,200.57575757575756,22
53,23 ,209.53846153846155,23
54,24 ,252.88333333333333,24
55,25 ,192.0,25
