0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,Name:,Mike,Family name:,Teunissen,Nationality:,The Netherlands ,Gender:, ,Age:,27  years,Date of birth:,25-08-1992,Place of birth:,"Ysselsteyn (Limburg), The Netherlands ",Professional:,2012-,, , ,,,,,,,
,Name:,Mike,Family name:,Teunissen,Nationality:,The Netherlands ,Gender:, ,Age:,27  years,Date of birth:,25-08-1992,Place of birth:,"Ysselsteyn (Limburg), The Netherlands ",Professional:,2012-,, , ,,,,,,,
,Name:,Julian,Family name:,Alaphilippe,Nationality:,France ,Gender:, ,Age:,27  years,Date of birth:,11-06-1992,Place of birth:,"Saint-Amand-Montrond (Centre), France ",Professional:,2014-,, , ,,,,,,,
,Name:,Elia,Family name:,Viviani,Nationality:,Italy ,Gender:, ,Age:,30  years,Date of birth:,07-02-1989,Place of birth:,"Isola della Scala (Veneto), Italy ",Professional:,2010-,, , ,,,,,,,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Professional:,2009-,, , ,,,,,,,
,Name:,Dylan,Family name:,Teuns,Nationality:,Belgium ,Gender:, ,Age:,27  years,Date of birth:,01-03-1992,Place of birth:,"Diest (Brabant), Belgium ",Professional:,2011-,, , ,,,,,,,
,Name:,Dylan,Family name:,Groenewegen,Nationality:,The Netherlands ,Gender:, ,Age:,26  years,Date of birth:,21-06-1993,Place of birth:,"Amsterdam (Noord-Holland), The Netherlands ",Professional:,2012-,, , ,,,,,,,
,Name:,Thomas,Family name:,De Gendt,Nationality:,Belgium ,Gender:, ,Age:,32  years,Date of birth:,06-11-1986,Place of birth:,"Sint-Niklaas (Oost-Vlaanderen), Belgium ",Professional:,2006-,, , ,,,,,,,
,Name:,Daryl,Family name:,Impey,Nationality:,South Africa ,Gender:, ,Age:,34  years,Date of birth:,06-12-1984,Place of birth:,"Johannesburg (Gauteng), South Africa ",Professional:,2008-,, , ,,,,,,,
,Name:,Wout,Family name:,Van Aert,Nationality:,Belgium ,Gender:, ,Age:,24  years,Date of birth:,15-09-1994,Place of birth:,"Herentals (Antwerpen), Belgium ",Professional:,2013-,, , ,,,,,,,
,Name:,Caleb,Family name:,Ewan,Nationality:,Australia ,Gender:, ,Age:,25  years,Date of birth:,11-07-1994,Place of birth:,"Sydney (New South Wales), Australia ",Professional:,2013-,, , ,,,,,,,
,Name:,Simon,Family name:,Yates,Nationality:,Great Britain ,Gender:, ,Age:,27  years,Date of birth:,07-08-1992,Place of birth:,"Bury (Bury), Great Britain ",Professional:,2014-,, , ,,,,,,,
,Name:,Julian,Family name:,Alaphilippe,Nationality:,France ,Gender:, ,Age:,27  years,Date of birth:,11-06-1992,Place of birth:,"Saint-Amand-Montrond (Centre), France ",Professional:,2014-,, , ,,,,,,,
,Name:,Thibaut,Family name:,Pinot,Nationality:,France ,Gender:, ,Age:,29  years,Date of birth:,29-05-1990,Place of birth:,"Mélisey (Franche-Comte), France ",Professional:,2010-,, , ,,,,,,,
,Name:,Simon,Family name:,Yates,Nationality:,Great Britain ,Gender:, ,Age:,27  years,Date of birth:,07-08-1992,Place of birth:,"Bury (Bury), Great Britain ",Professional:,2014-,, , ,,,,,,,
