,Departure,Arrival
0,,"Brussel/Bruxelles (Brussels Hoofdstedelijk Gewest), Belgium"
1,,"Brussel/Bruxelles (Brussels Hoofdstedelijk Gewest), Belgium"
2,"    Binche (Hainaut), Belgium ","Épernay (Champagne-Ardenne), France"
3,"    Reims (Champagne-Ardenne), France ","Nancy (Lorraine), France"
4,"    Saint-Dié-des-Vosges (Lorraine), France ","Colmar (Alsace), France"
5,"    Mulhouse (Alsace), France ","La Planche des Belles Filles (Alsace), France"
6,"    Belfort (Franche-Comte), France ","Châlon-sur-Saône (Bourgogne), France"
7,"    Mâcon (Bourgogne), France ","Saint-Étienne (Bourgogne), France"
8,"    Saint-Étienne (Bourgogne), France ","Brioude (Auvergne), France"
9,"    Saint-Flour (Auvergne), France ","Albi (Midi-Pyrenees), France"
10,"    Albi (Midi-Pyrenees), France ","Toulouse (Midi-Pyrenees), France"
11,"    Toulouse (Midi-Pyrenees), France ","Bagnères-de-Bigorre (Midi-Pyrenees), France"
12,,"Pau (Aquitaine), France"
13,"    Tarbes (Midi-Pyrenees), France ","Col du Tourmalet (Midi-Pyrenees), France"
14,"    Limoux (Languedoc-Roussillon), France ","Prat d'Albis (Midi-Pyrenees), France"
15,,"Nîmes (Languedoc-Roussillon), France"
16,"    Vers (Languedoc-Roussillon), France ","Gap (Provence-Alpes-Cote d'Azur), France"
17,"    Embrun (Provence-Alpes-Cote d'Azur), France ","Valloire (Rhone-Alpes), France"
18,"    Saint-Jean-de-Maurienne (Rhone-Alpes), France ","Tignes (Rhone-Alpes), France"
19,"    Albertville (Rhone-Alpes), France ","Val Thorens (Rhone-Alpes), France"
20,"    Rambouillet (Ile de France), France ","Paris (Ile-de-France), France"
21,,
22,,
23,,
24,"    Noirmoutier-en-l'Ile (Pays de la Loire), France ","Fontenay-le-Comte (Pays de la Loire), France"
25,"    Mouilleron (Pays de la Loire), France ","La Roche-sur-Yon (Pays de la Loire), France"
26,"    Cholet (Pays de la Loire), France ","Cholet (Pays de la Loire), France"
27,"    La Baule-Escoublac (Pays de la Loire), France ","Sarzeau (Bretagne), France"
28,"    Lorient (Bretagne), France ","Quimper (Bretagne), France"
29,"    Brest (Bretagne), France ","Guerlédan (Bretagne), France"
30,"    Fougères (Bretagne), France ","Chartres (Bretagne), France"
31,"    Dreux (Centre), France ","Amiens (Picardie), France"
32,"    Arras (Nord-Pas-de-Calais), France ","Roubaix (Nord-Pas-de-Calais), France"
33,"    Annecy (Rhone-Alpes), France ","Le Grand Bornand (Rhone-Alpes), France"
34,"    Albertville (Rhone-Alpes), France ","La Rosière (Rhone-Alpes), France"
35,"    Bourg-Saint-Maurice (Rhone-Alpes), France ","Alpe d'Huez (Rhone-Alpes), France"
36,"    Bourg d'Oisans (Rhone-Alpes), France ","Valence (Rhone-Alpes), France"
37,"    Saint-Paul-Trois-Châteaux (Rhone-Alpes), France ","Mende (Languedoc-Roussillon), France"
38,"    Millau (Midi-Pyrenees), France ","Carcassonne (Languedoc-Roussillon), France"
39,"    Carcassonne (Languedoc-Roussillon), France ","Bagnères-de-Luchon (Midi-Pyrenees), France"
40,"    Bagnères-de-Luchon (Midi-Pyrenees), France ","Saint-Lary-Soulan (Midi-Pyrenees), France"
41,"    Trie-sur-Baïse (Midi-Pyrenees), France ","Pau (Aquitaine), France"
42,"    Lourdes (Midi-Pyrenees), France ","Laruns (Aquitaine), France"
43,"    Saint-Pée-sur-Nivelle (Aquitaine), France ","Espelette (Aquitaine), France"
44,"    Houilles (Ile-de-France), France ","Paris (Ile-de-France), France"
45,"    Noirmoutier-en-l'Ile (Pays de la Loire), France ","Paris (Ile-de-France), France"
46,"    Noirmoutier-en-l'Ile (Pays de la Loire), France ","Paris (Ile-de-France), France"
47,"    Noirmoutier-en-l'Ile (Pays de la Loire), France ","Paris (Ile-de-France), France"
48,"    Düsseldorf (Nordrhein-Westfalen), Germany ","Düsseldorf (Nordrhein-Westfalen), Germany"
49,"    Düsseldorf (Nordrhein-Westfalen), Germany ","Liège (Liege), Belgium"
50,"    Verviers (Liege), Belgium ","Longwy (Lorraine), France"
51,"    Mondorf-les-Bains (Grevenmacher), Luxemburg ","Vittel (Lorraine), France"
52,"    Vittel (Lorraine), France ","Planche des Belles Filles (Franche-Comte), France"
53,"    Vesoul (Franche-Comte), France ","Troyes (Champagne-Ardenne), France"
54,"    Troyes (Champagne-Ardenne), France ","Nuits-Saint-Georges (Bourgogne), France"
55,"    Dole (Franche-Comte), France ","Rousses (Languedoc-Roussillon), France"
56,"    Nantua (Rhone-Alpes), France ","Chambéry (Rhone-Alpes), France"
57,"    Périgueux (Aquitaine), France ","Bergerac (Aquitaine), France"
58,"    Eymet (Aquitaine), France ","Pau (Aquitaine), France"
59,"    Pau (Aquitaine), France ","Peyragudes (Midi-Pyrenees), France"
60,"    Saint-Girons (Midi-Pyrenees), France ","Foix (Midi-Pyrenees), France"
61,"    Blagnac (Midi-Pyrenees), France ","Rodez (Midi-Pyrenees), France"
62,"    Laissac (Midi-Pyrenees), France ","Le Puy-en Velay (Auvergne), France"
63,"    Le Puy-en Velay (Auvergne), France ","Romans-sur-Isère (Rhone-Alpes), France"
64,"    La Mure (Rhone-Alpes), France ","Serre Chevalier (Provence-Alpes-Cote d'Azur), France"
65,"    Briançon (Provence-Alpes-Cote d'Azur), France ","Briançon (Provence-Alpes-Cote d'Azur), France"
66,"    Embrun (Provence-Alpes-Cote d'Azur), France ","Salon-de-Provence (Provence-Alpes-Cote d'Azur), France"
67,"    Marseilles (Provence-Alpes-Cote d'Azur), France ","Marseilles (Provence-Alpes-Cote d'Azur), France"
68,"    Montgeron (Ile-de-France), France ","Paris (Ile-de-France), France"
69,,
70,,
71,,
72,"    Le Mont-Saint-Michel (Basse-Normandie), France ","Pouppeville (Basse-Normandie), France"
73,"    Saint-Lô (Basse-Normandie), France ","Cherbourg (Basse-Normandie), France"
74,"    Granville (Basse-Normandie), France ","Angers (Pays de la Loire), France"
75,"    Saumur (Pays de la Loire), France ","Limoges (Limousin), France"
76,"    Limoges (Limousin), France ","Laveissière (Auvergne), France"
77,"    Arpajon-sur-Cère (Auvergne), France ","Montauban (Midi-Pyrenees), France"
78,"    L'Isle-Jourdain (Midi-Pyrenees), France ","Payolle (Midi-Pyrenees), France"
79,"    Pau (Aquitaine), France ","Bagnères-de-Luchon (Midi-Pyrenees), France"
80,"    Vielha (Cataluña), Spain ","Andorra (Andorra la Vella), Andorra"
81,"    Andorra (Andorra la Vella), Andorra ","Revel (Midi-Pyrenees), France"
82,"    Carcassonne (Languedoc-Roussillon), France ","Montpellier (Poitou-Charentes), France"
83,"    Montpellier (Languedoc-Roussillon), France ","Mont Ventoux (Provence-Alpes-Cote d'Azur), France"
84,"    Bourg-Saint-Andéol (Rhone-Alpes), France ","Caverne du Pont d'Arc (Rhone-Alpes), France"
85,"    Montélimar (Rhone-Alpes), France ","Villars-les-Dombes (Rhone-Alpes), France"
86,"    Bourg-en-Bresse (Rhone-Alpes), France ","Culoz (Rhone-Alpes), France"
87,"    Moirans-en-Montagne (Franche-Comte), France ","Bern (Bern), Switzerland"
88,"    Bern (Bern), Switzerland ","Finhaut (Valais), Switzerland"
89,"    Sallanches (Rhone-Alpes), France ","Megève (Rhone-Alpes), France"
90,"    Albertville (Rhone-Alpes), France ","Saint-Gervais-les-Bains (Rhone-Alpes), France"
91,"    Megève (Rhone-Alpes), France ","Morzine (Rhone-Alpes), France"
92,"    Chantilly (Picardie), France ","Paris (Ile-de-France), France"
93,,
94,,
95,,
96,,
97,"    Utrecht (Utrecht), The Netherlands ","Utrecht (Utrecht), The Netherlands"
98,"    Utrecht (Utrecht), The Netherlands ","Neeltje Jans (Zeeland), The Netherlands"
99,"    Antwerpen (Antwerpen), Belgium ","Huy (Liege), Belgium"
100,"    Seraing (Liege), Belgium ","Cambrai (Nord-Pas-de-Calais), France"
101,"    Arras (Nord-Pas-de-Calais), France ","Amiens (Picardie), France"
102,"    Abbeville (Picardie), France ","Le Havre (Haute-Normandie), France"
103,"    Livarot (Basse-Normandie), France ","Fougères (Bretagne), France"
104,"    Rennes (Bretagne), France ","Mur-de-Bretagne (Bretagne), France"
105,"    Vannes (Bretagne), France ","Plumelec (Bretagne), France"
106,"    Tarbes (Midi-Pyrenees), France ","Col de la Pierre Saint-Martin (Midi-Pyrenees), France"
107,"    Pau (Aquitaine), France ","Cauterets (Midi-Pyrenees), France"
108,"    Lannemezan (Midi-Pyrenees), France ","Plateau de Beille (Midi-Pyrenees), France"
109,"    Muret (Midi-Pyrenees), France ","Rodez (Midi-Pyrenees), France"
110,"    Rodez (Midi-Pyrenees), France ","Mende (Languedoc-Roussillon), France"
111,"    Mende (Languedoc-Roussillon), France ","Valence (Languedoc-Roussillon), France"
