,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,Date:,06-07-2019,1º stage Distance:,"194,5 km",Road – Stage,          Departure:,,              Arrival:,"Brussel/Bruxelles (Brussels Hoofdstedelijk Gewest), Belgium",,,,Name:,Mike,Family name:,Teunissen,Nationality:,The Netherlands ,Gender:, ,Age:,27  years,Date of birth:,25-08-1992,Place of birth:,"Ysselsteyn (Limburg), The Netherlands ",Professional:,2012-,, , ,,,,,,,
1,Date:,07-07-2019,2º stage Distance:,"27,6 km",Road – Team Time Trial,          Departure:,,              Arrival:,"Brussel/Bruxelles (Brussels Hoofdstedelijk Gewest), Belgium",,,,Name:,Mike,Family name:,Teunissen,Nationality:,The Netherlands ,Gender:, ,Age:,27  years,Date of birth:,25-08-1992,Place of birth:,"Ysselsteyn (Limburg), The Netherlands ",Professional:,2012-,, , ,,,,,,,
2,Date:,08-07-2019,3º stage Distance:,215 km,Road – Stage,          Departure:,"    Binche (Hainaut), Belgium ",              Arrival:,"Épernay (Champagne-Ardenne), France",,,,Name:,Julian,Family name:,Alaphilippe,Nationality:,France ,Gender:, ,Age:,27  years,Date of birth:,11-06-1992,Place of birth:,"Saint-Amand-Montrond (Centre), France ",Professional:,2014-,, , ,,,,,,,
3,Date:,09-07-2019,4º stage Distance:,"213,5 km",Road – Stage,          Departure:,"    Reims (Champagne-Ardenne), France ",              Arrival:,"Nancy (Lorraine), France",,,,Name:,Elia,Family name:,Viviani,Nationality:,Italy ,Gender:, ,Age:,30  years,Date of birth:,07-02-1989,Place of birth:,"Isola della Scala (Veneto), Italy ",Professional:,2010-,, , ,,,,,,,
4,Date:,10-07-2019,5º stage Distance:,"175,5 km",Road – Stage,          Departure:,"    Saint-Dié-des-Vosges (Lorraine), France ",              Arrival:,"Colmar (Alsace), France",,,,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Professional:,2009-,, , ,,,,,,,
5,Date:,11-07-2019,6º stage Distance:,"160,5 km",Road – Stage,          Departure:,"    Mulhouse (Alsace), France ",              Arrival:,"La Planche des Belles Filles (Alsace), France",,,,Name:,Dylan,Family name:,Teuns,Nationality:,Belgium ,Gender:, ,Age:,27  years,Date of birth:,01-03-1992,Place of birth:,"Diest (Brabant), Belgium ",Professional:,2011-,, , ,,,,,,,
6,Date:,12-07-2019,7º stage Distance:,230 km,Road – Stage,          Departure:,"    Belfort (Franche-Comte), France ",              Arrival:,"Châlon-sur-Saône (Bourgogne), France",,,,Name:,Dylan,Family name:,Groenewegen,Nationality:,The Netherlands ,Gender:, ,Age:,26  years,Date of birth:,21-06-1993,Place of birth:,"Amsterdam (Noord-Holland), The Netherlands ",Professional:,2012-,, , ,,,,,,,
7,Date:,13-07-2019,8º stage Distance:,200 km,Road – Stage,          Departure:,"    Mâcon (Bourgogne), France ",              Arrival:,"Saint-Étienne (Bourgogne), France",,,,Name:,Thomas,Family name:,De Gendt,Nationality:,Belgium ,Gender:, ,Age:,32  years,Date of birth:,06-11-1986,Place of birth:,"Sint-Niklaas (Oost-Vlaanderen), Belgium ",Professional:,2006-,, , ,,,,,,,
8,Date:,14-07-2019,9º stage Distance:,"170,5 km",Road – Stage,          Departure:,"    Saint-Étienne (Bourgogne), France ",              Arrival:,"Brioude (Auvergne), France",,,,Name:,Daryl,Family name:,Impey,Nationality:,South Africa ,Gender:, ,Age:,34  years,Date of birth:,06-12-1984,Place of birth:,"Johannesburg (Gauteng), South Africa ",Professional:,2008-,, , ,,,,,,,
9,Date:,15-07-2019,10º stage Distance:,"217,5 km",Road – Stage,          Departure:,"    Saint-Flour (Auvergne), France ",              Arrival:,"Albi (Midi-Pyrenees), France",,,,Name:,Wout,Family name:,Van Aert,Nationality:,Belgium ,Gender:, ,Age:,24  years,Date of birth:,15-09-1994,Place of birth:,"Herentals (Antwerpen), Belgium ",Professional:,2013-,, , ,,,,,,,
10,Date:,17-07-2019,11º stage Distance:,167 km,Road – Stage,          Departure:,"    Albi (Midi-Pyrenees), France ",              Arrival:,"Toulouse (Midi-Pyrenees), France",,,,Name:,Caleb,Family name:,Ewan,Nationality:,Australia ,Gender:, ,Age:,25  years,Date of birth:,11-07-1994,Place of birth:,"Sydney (New South Wales), Australia ",Professional:,2013-,, , ,,,,,,,
11,Date:,18-07-2019,12º stage Distance:,"209,5 km",Road – Stage,          Departure:,"    Toulouse (Midi-Pyrenees), France ",              Arrival:,"Bagnères-de-Bigorre (Midi-Pyrenees), France",,,,Name:,Simon,Family name:,Yates,Nationality:,Great Britain ,Gender:, ,Age:,27  years,Date of birth:,07-08-1992,Place of birth:,"Bury (Bury), Great Britain ",Professional:,2014-,, , ,,,,,,,
12,Date:,19-07-2019,13º stage Distance:,"27,2 km",Road – Individual Time Trial,          Departure:,,              Arrival:,"Pau (Aquitaine), France",,,,Name:,Julian,Family name:,Alaphilippe,Nationality:,France ,Gender:, ,Age:,27  years,Date of birth:,11-06-1992,Place of birth:,"Saint-Amand-Montrond (Centre), France ",Professional:,2014-,, , ,,,,,,,
13,Date:,20-07-2019,14º stage Distance:,"117,5 km",Road – Stage,          Departure:,"    Tarbes (Midi-Pyrenees), France ",              Arrival:,"Col du Tourmalet (Midi-Pyrenees), France",,,,Name:,Thibaut,Family name:,Pinot,Nationality:,France ,Gender:, ,Age:,29  years,Date of birth:,29-05-1990,Place of birth:,"Mélisey (Franche-Comte), France ",Professional:,2010-,, , ,,,,,,,
14,Date:,21-07-2019,15º stage Distance:,185 km,Road – Stage,          Departure:,"    Limoux (Languedoc-Roussillon), France ",              Arrival:,"Prat d'Albis (Midi-Pyrenees), France",,,,Name:,Simon,Family name:,Yates,Nationality:,Great Britain ,Gender:, ,Age:,27  years,Date of birth:,07-08-1992,Place of birth:,"Bury (Bury), Great Britain ",Professional:,2014-,, , ,,,,,,,
15,Date:,23-07-2019,16º stage Distance:,177 km,Road – Stage,          Departure:,,              Arrival:,"Nîmes (Languedoc-Roussillon), France",,,,Name:,Caleb,Family name:,Ewan,Nationality:,Australia ,Gender:, ,Age:,25  years,Date of birth:,11-07-1994,Place of birth:,"Sydney (New South Wales), Australia ",Professional:,2013-,, , ,,,,,,,
16,Date:,24-07-2019,17º stage Distance:,200 km,Road – Stage,          Departure:,"    Vers (Languedoc-Roussillon), France ",              Arrival:,"Gap (Provence-Alpes-Cote d'Azur), France",,,,Name:,Matteo,Family name:,Trentin,Nationality:,Italy ,Gender:, ,Age:,30  years,Date of birth:,02-08-1989,Place of birth:,"Borgo Valsugana (Trentino-Alto Adige), Italy ",Professional:,2012-,, , ,,,,,,,
