,Date,Stage,Distance Covered,Type,Departure,Arrival,Category UCI,Name,Family Name,Nationality,Dual National,Native Country,NC-From,NC-To,Adopted Country,AC-From,AC-To,Age,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,21_1,22_1,23_1
0,06-07-2019,1º stage Distance:,"194,5 km",Road – Stage,,"Brussel/Bruxelles (Brussels Hoofdstedelijk Gewest), Belgium",,Mike,Teunissen,The Netherlands ,N,,,,,,,27  years,Date of birth:,25-08-1992,Place of birth:,"Ysselsteyn (Limburg), The Netherlands ",Date of death:||Place of death:|,2012-,, , ,,,,,,,,Professional:, ,Age:,27  years
1,07-07-2019,2º stage Distance:,"27,6 km",Road – Team Time Trial,,"Brussel/Bruxelles (Brussels Hoofdstedelijk Gewest), Belgium",,Mike,Teunissen,The Netherlands ,N,,,,,,,27  years,Date of birth:,25-08-1992,Place of birth:,"Ysselsteyn (Limburg), The Netherlands ",Date of death:||Place of death:|,2012-,, , ,,,,,,,,Professional:, ,Age:,27  years
2,08-07-2019,3º stage Distance:,215 km,Road – Stage,"    Binche (Hainaut), Belgium ","Épernay (Champagne-Ardenne), France",,Julian,Alaphilippe,France ,N,,,,,,,27  years,Date of birth:,11-06-1992,Place of birth:,"Saint-Amand-Montrond (Centre), France ",Date of death:||Place of death:|,2014-,, , ,,,,,,,,Professional:, ,Age:,27  years
3,09-07-2019,4º stage Distance:,"213,5 km",Road – Stage,"    Reims (Champagne-Ardenne), France ","Nancy (Lorraine), France",,Elia,Viviani,Italy ,N,,,,,,,30  years,Date of birth:,07-02-1989,Place of birth:,"Isola della Scala (Veneto), Italy ",Date of death:||Place of death:|,2010-,, , ,,,,,,,,Professional:, ,Age:,30  years
4,10-07-2019,5º stage Distance:,"175,5 km",Road – Stage,"    Saint-Dié-des-Vosges (Lorraine), France ","Colmar (Alsace), France",,Peter,Sagan,Slovakia ,N,,,,,,,29  years,Date of birth:,26-01-1990,Place of birth:,"Zilina (Zilina), Slovakia ",Date of death:||Place of death:|,2009-,, , ,,,,,,,,Professional:, ,Age:,29  years
5,11-07-2019,6º stage Distance:,"160,5 km",Road – Stage,"    Mulhouse (Alsace), France ","La Planche des Belles Filles (Alsace), France",,Dylan,Teuns,Belgium ,N,,,,,,,27  years,Date of birth:,01-03-1992,Place of birth:,"Diest (Brabant), Belgium ",Date of death:||Place of death:|,2011-,, , ,,,,,,,,Professional:, ,Age:,27  years
6,12-07-2019,7º stage Distance:,230 km,Road – Stage,"    Belfort (Franche-Comte), France ","Châlon-sur-Saône (Bourgogne), France",,Dylan,Groenewegen,The Netherlands ,N,,,,,,,26  years,Date of birth:,21-06-1993,Place of birth:,"Amsterdam (Noord-Holland), The Netherlands ",Date of death:||Place of death:|,2012-,, , ,,,,,,,,Professional:, ,Age:,26  years
7,13-07-2019,8º stage Distance:,200 km,Road – Stage,"    Mâcon (Bourgogne), France ","Saint-Étienne (Bourgogne), France",,Thomas,De Gendt,Belgium ,N,,,,,,,32  years,Date of birth:,06-11-1986,Place of birth:,"Sint-Niklaas (Oost-Vlaanderen), Belgium ",Date of death:||Place of death:|,2006-,, , ,,,,,,,,Professional:, ,Age:,32  years
8,14-07-2019,9º stage Distance:,"170,5 km",Road – Stage,"    Saint-Étienne (Bourgogne), France ","Brioude (Auvergne), France",,Daryl,Impey,South Africa ,N,,,,,,,34  years,Date of birth:,06-12-1984,Place of birth:,"Johannesburg (Gauteng), South Africa ",Date of death:||Place of death:|,2008-,, , ,,,,,,,,Professional:, ,Age:,34  years
9,15-07-2019,10º stage Distance:,"217,5 km",Road – Stage,"    Saint-Flour (Auvergne), France ","Albi (Midi-Pyrenees), France",,Wout,Van Aert,Belgium ,N,,,,,,,24  years,Date of birth:,15-09-1994,Place of birth:,"Herentals (Antwerpen), Belgium ",Date of death:||Place of death:|,2013-,, , ,,,,,,,,Professional:, ,Age:,24  years
