,Date,Stage,Distance Covered in km,Type,Departure,Arrival,Category UCI,Name,Family Name,Nationality,Dual National,Native Country,NC-From,NC-To,Adopted Country,AC-From,AC-To,Age,Date of Birth,City of Birth,Country of Birth,Date of Death,City of Death,Country of Death,1st Innings From,1st Innings To,2nd Innings From,2nd Innings To,3rd Innings From,3rd Innings To,Career Span,1st Gap,2nd Innings Span,2nd Gap,3rd Innings Span,Total Career Span,Full Name
0,2019-06-07,1 ,194.5,Stage,,"Brussel/Bruxelles (Brussels Hoofdstedelijk Gewest), Belgium",,Mike,Teunissen,The Netherlands ,N,,1992-08-25,,,,,27  years,1992-08-25,Ysselsteyn (Limburg), The Netherlands ,,,,2012,0,0,0,0,0,0,0,0,0,0,7,Mike Teunissen
1,2019-07-07,2 ,27.6,Team Time Trial,,"Brussel/Bruxelles (Brussels Hoofdstedelijk Gewest), Belgium",,Mike,Teunissen,The Netherlands ,N,,1992-08-25,,,,,27  years,1992-08-25,Ysselsteyn (Limburg), The Netherlands ,,,,2012,0,0,0,0,0,0,0,0,0,0,7,Mike Teunissen
2,2019-08-07,3 ,215.0,Stage,"    Binche (Hainaut), Belgium ","Épernay (Champagne-Ardenne), France",,Julian,Alaphilippe,France ,N,,1992-11-06,,,,,27  years,1992-11-06,Saint-Amand-Montrond (Centre), France ,,,,2014,0,0,0,0,0,0,0,0,0,0,5,Julian Alaphilippe
3,2019-09-07,4 ,213.5,Stage,"    Reims (Champagne-Ardenne), France ","Nancy (Lorraine), France",,Elia,Viviani,Italy ,N,,1989-07-02,,,,,30  years,1989-07-02,Isola della Scala (Veneto), Italy ,,,,2010,0,0,0,0,0,0,0,0,0,0,9,Elia Viviani
4,2019-10-07,5 ,175.5,Stage,"    Saint-Dié-des-Vosges (Lorraine), France ","Colmar (Alsace), France",,Peter,Sagan,Slovakia ,N,,1990-01-26,,,,,29  years,1990-01-26,Zilina (Zilina), Slovakia ,,,,2009,0,0,0,0,0,0,0,0,0,0,10,Peter Sagan
5,2019-11-07,6 ,160.5,Stage,"    Mulhouse (Alsace), France ","La Planche des Belles Filles (Alsace), France",,Dylan,Teuns,Belgium ,N,,1992-01-03,,,,,27  years,1992-01-03,Diest (Brabant), Belgium ,,,,2011,0,0,0,0,0,0,0,0,0,0,8,Dylan Teuns
6,2019-12-07,7 ,230.0,Stage,"    Belfort (Franche-Comte), France ","Châlon-sur-Saône (Bourgogne), France",,Dylan,Groenewegen,The Netherlands ,N,,1993-06-21,,,,,26  years,1993-06-21,Amsterdam (Noord-Holland), The Netherlands ,,,,2012,0,0,0,0,0,0,0,0,0,0,7,Dylan Groenewegen
7,2019-07-13,8 ,200.0,Stage,"    Mâcon (Bourgogne), France ","Saint-Étienne (Bourgogne), France",,Thomas,De Gendt,Belgium ,N,,1986-06-11,,,,,32  years,1986-06-11,Sint-Niklaas (Oost-Vlaanderen), Belgium ,,,,2006,0,0,0,0,0,0,0,0,0,0,13,Thomas De Gendt
8,2019-07-14,9 ,170.5,Stage,"    Saint-Étienne (Bourgogne), France ","Brioude (Auvergne), France",,Daryl,Impey,South Africa ,N,,1984-06-12,,,,,34  years,1984-06-12,Johannesburg (Gauteng), South Africa ,,,,2008,0,0,0,0,0,0,0,0,0,0,11,Daryl Impey
9,2019-07-15,10 ,217.5,Stage,"    Saint-Flour (Auvergne), France ","Albi (Midi-Pyrenees), France",,Wout,Van Aert,Belgium ,N,,1994-09-15,,,,,24  years,1994-09-15,Herentals (Antwerpen), Belgium ,,,,2013,0,0,0,0,0,0,0,0,0,0,6,Wout Van Aert
10,2019-07-17,11 ,167.0,Stage,"    Albi (Midi-Pyrenees), France ","Toulouse (Midi-Pyrenees), France",,Caleb,Ewan,Australia ,N,,1994-11-07,,,,,25  years,1994-11-07,Sydney (New South Wales), Australia ,,,,2013,0,0,0,0,0,0,0,0,0,0,6,Caleb Ewan
11,2019-07-18,12 ,209.5,Stage,"    Toulouse (Midi-Pyrenees), France ","Bagnères-de-Bigorre (Midi-Pyrenees), France",,Simon,Yates,Great Britain ,N,,1992-07-08,,,,,27  years,1992-07-08,Bury (Bury), Great Britain ,,,,2014,0,0,0,0,0,0,0,0,0,0,5,Simon Yates
12,2019-07-19,13 ,27.2,Individual Time Trial,,"Pau (Aquitaine), France",,Julian,Alaphilippe,France ,N,,1992-11-06,,,,,27  years,1992-11-06,Saint-Amand-Montrond (Centre), France ,,,,2014,0,0,0,0,0,0,0,0,0,0,5,Julian Alaphilippe
13,2019-07-20,14 ,117.5,Stage,"    Tarbes (Midi-Pyrenees), France ","Col du Tourmalet (Midi-Pyrenees), France",,Thibaut,Pinot,France ,N,,1990-05-29,,,,,29  years,1990-05-29,Mélisey (Franche-Comte), France ,,,,2010,0,0,0,0,0,0,0,0,0,0,9,Thibaut Pinot
