0,1,2,3,4,5,6,7,8,9,10,11,12
,Date:,06-07-2019,1º stage Distance:,"194,5 km",Road – Stage,          Departure:,,              Arrival:,"Brussel/Bruxelles (Brussels Hoofdstedelijk Gewest), Belgium",,,
,Date:,07-07-2019,2º stage Distance:,"27,6 km",Road – Team Time Trial,          Departure:,,              Arrival:,"Brussel/Bruxelles (Brussels Hoofdstedelijk Gewest), Belgium",,,
,Date:,08-07-2019,3º stage Distance:,215 km,Road – Stage,          Departure:,"    Binche (Hainaut), Belgium ",              Arrival:,"Épernay (Champagne-Ardenne), France",,,
,Date:,09-07-2019,4º stage Distance:,"213,5 km",Road – Stage,          Departure:,"    Reims (Champagne-Ardenne), France ",              Arrival:,"Nancy (Lorraine), France",,,
,Date:,10-07-2019,5º stage Distance:,"175,5 km",Road – Stage,          Departure:,"    Saint-Dié-des-Vosges (Lorraine), France ",              Arrival:,"Colmar (Alsace), France",,,
,Date:,11-07-2019,6º stage Distance:,"160,5 km",Road – Stage,          Departure:,"    Mulhouse (Alsace), France ",              Arrival:,"La Planche des Belles Filles (Alsace), France",,,
,Date:,12-07-2019,7º stage Distance:,230 km,Road – Stage,          Departure:,"    Belfort (Franche-Comte), France ",              Arrival:,"Châlon-sur-Saône (Bourgogne), France",,,
,Date:,13-07-2019,8º stage Distance:,200 km,Road – Stage,          Departure:,"    Mâcon (Bourgogne), France ",              Arrival:,"Saint-Étienne (Bourgogne), France",,,
,Date:,14-07-2019,9º stage Distance:,"170,5 km",Road – Stage,          Departure:,"    Saint-Étienne (Bourgogne), France ",              Arrival:,"Brioude (Auvergne), France",,,
,Date:,15-07-2019,10º stage Distance:,"217,5 km",Road – Stage,          Departure:,"    Saint-Flour (Auvergne), France ",              Arrival:,"Albi (Midi-Pyrenees), France",,,
,Date:,17-07-2019,11º stage Distance:,167 km,Road – Stage,          Departure:,"    Albi (Midi-Pyrenees), France ",              Arrival:,"Toulouse (Midi-Pyrenees), France",,,
,Date:,18-07-2019,12º stage Distance:,"209,5 km",Road – Stage,          Departure:,"    Toulouse (Midi-Pyrenees), France ",              Arrival:,"Bagnères-de-Bigorre (Midi-Pyrenees), France",,,
,Date:,19-07-2019,13º stage Distance:,"27,2 km",Road – Individual Time Trial,          Departure:,,              Arrival:,"Pau (Aquitaine), France",,,
,Date:,20-07-2019,14º stage Distance:,"117,5 km",Road – Stage,          Departure:,"    Tarbes (Midi-Pyrenees), France ",              Arrival:,"Col du Tourmalet (Midi-Pyrenees), France",,,
,Date:,21-07-2019,15º stage Distance:,185 km,Road – Stage,          Departure:,"    Limoux (Languedoc-Roussillon), France ",              Arrival:,"Prat d'Albis (Midi-Pyrenees), France",,,
,Date:,23-07-2019,16º stage Distance:,177 km,Road – Stage,          Departure:,,              Arrival:,"Nîmes (Languedoc-Roussillon), France",,,
,Date:,24-07-2019,17º stage Distance:,200 km,Road – Stage,          Departure:,"    Vers (Languedoc-Roussillon), France ",              Arrival:,"Gap (Provence-Alpes-Cote d'Azur), France",,,
,Date:,25-07-2019,18º stage Distance:,208 km,Road – Stage,          Departure:,"    Embrun (Provence-Alpes-Cote d'Azur), France ",              Arrival:,"Valloire (Rhone-Alpes), France",,,
,Date:,26-07-2019,19º stage Distance:,"88,5 km",Road – Stage,          Departure:,"    Saint-Jean-de-Maurienne (Rhone-Alpes), France ",              Arrival:,"Tignes (Rhone-Alpes), France",,,
,Date:,27-07-2019,20º stage Distance:,59 km,Road – Stage,          Departure:,"    Albertville (Rhone-Alpes), France ",              Arrival:,"Val Thorens (Rhone-Alpes), France",,,
,Date:,28-07-2019,21º stage Distance:,127 km,Road – Stage,          Departure:,"    Rambouillet (Ile de France), France ",              Arrival:,"Paris (Ile-de-France), France",,,
,Date:,28-07-2019, Distance:, km,Classification – Road – General Classification,          Departure:,,              Arrival:,,Category UCI:,2.WT/WT/PT,
,Date:,28-07-2019, Distance:, km,Classification – Road – Points Classification,          Departure:,,              Arrival:,,Category UCI:,2.WT/WT/PT,
,Date:,28-07-2019, Distance:, km,Classification – Road – Mountains Classification,          Departure:,,              Arrival:,,Category UCI:,2.WT/WT/PT,
,Date:,07-07-2018,1º stage Distance:,189 km,Road – Stage,          Departure:,"    Noirmoutier-en-l'Ile (Pays de la Loire), France ",              Arrival:,"Fontenay-le-Comte (Pays de la Loire), France",,,
,Date:,08-07-2018,2º stage Distance:,183 km,Road – Stage,          Departure:,"    Mouilleron (Pays de la Loire), France ",              Arrival:,"La Roche-sur-Yon (Pays de la Loire), France",,,
,Date:,09-07-2018,3º stage Distance:,35 km,Road – Team Time Trial,          Departure:,"    Cholet (Pays de la Loire), France ",              Arrival:,"Cholet (Pays de la Loire), France",,,
,Date:,10-07-2018,4º stage Distance:,192 km,Road – Stage,          Departure:,"    La Baule-Escoublac (Pays de la Loire), France ",              Arrival:,"Sarzeau (Bretagne), France",,,
,Date:,11-07-2018,5º stage Distance:,203 km,Road – Stage,          Departure:,"    Lorient (Bretagne), France ",              Arrival:,"Quimper (Bretagne), France",,,
,Date:,12-07-2018,6º stage Distance:,181 km,Road – Stage,          Departure:,"    Brest (Bretagne), France ",              Arrival:,"Guerlédan (Bretagne), France",,,
,Date:,13-07-2018,7º stage Distance:,231 km,Road – Stage,          Departure:,"    Fougères (Bretagne), France ",              Arrival:,"Chartres (Bretagne), France",,,
