,1st Innings From,Full Name,Event Year,Winning Age,Professional Career Year,time_count
2305,1913,Lucien Buysse,1926,34,13,1
2359,1911,Henri Pélissier,1923,34,12,1
45,2007,Geraint Thomas,2018,32,11,4
294,1997,Carlos Sastre Candil,2008,33,11,4
2426,1908,Firmin Lambot,1919,33,11,4
1890,1938,Fausto Coppi,1949,30,11,4
219,2001,Cadel Evans,2011,34,10,6
193,2002,Bradley Wiggins,2012,32,10,6
1868,1940,Ferdi Kübler,1950,31,10,6
1037,1970,Joop Zoetemelk,1980,34,10,6
594,1986,Bjarne Lykkegård Riis,1996,32,10,6
2602,1893,Maurice Garin,1903,32,10,6
143,2005,Vincenzo Nibali,2014,30,9,1
2235,1921,Maurice De Waele,1929,33,8,2
2393,1913,Léon Scieur,1921,33,8,2
1712,1949,Roger Walkowiak,1956,29,7,6
1609,1953,Gastone Nencini,1960,30,7,6
1393,1961,Jan Janssen,1968,28,7,6
1158,1969,Lucien Van Impe,1976,30,7,6
518,1992,Lance Armstrong,1999,28,7,6
725,1984,Miguel Maria Indurain Larraya,1991,27,7,6
1634,1953,Federico Martín Bahamontes,1959,31,6,6
168,2007,Chris Froome,2013,28,6,6
803,1982,Pedro Delgado Robledo,1988,28,6,6
1791,1947,Louison Bobet,1953,28,6,6
543,1992,Marco Pantani,1998,28,6,6
345,2000,Óscar Pereiro Sio,2006,29,6,6
2188,1926,Antonin Magne,1931,27,5,10
2560,1902,Lucien Petit-Breton,1907,25,5,10
1844,1946,Hugo Koblet,1951,26,5,10
863,1981,Greg LeMond,1986,25,5,10
1660,1953,Charly Gaul,1958,26,5,10
2286,1922,Nicolas Frantz,1927,28,5,10
834,1982,Stephen Roche,1987,28,5,10
1247,1968,Luis Ocaña Pernia,1973,28,5,10
1186,1970,Bernard Thévenet,1975,27,5,10
2031,1932,Roger Lapébie,1937,26,5,10
2060,1932,Sylvère Maes,1936,27,4,7
2494,1907,Gustave Garrigou,1911,27,4,7
2211,1926,André Leducq,1930,26,4,7
1688,1953,Jacques Anquetil,1957,23,4,7
1937,1943,Jean Robic,1947,26,4,7
319,2003,Alberto Contador Velasco,2007,25,4,7
1364,1965,Eddy Merckx,1969,24,4,7
21,2016,Egan Arley Bernal Gómez,2019,22,3,8
1997,1935,Gino Bartali,1938,24,3,8
2588,1902,Louis Trousselier,1905,24,3,8
1449,1963,Lucien Aimar,1966,25,3,8
1094,1975,Bernard Hinault,1978,24,3,8
2140,1930,Georges Speicher,1933,26,3,8
2528,1906,François Faber,1909,22,3,8
2478,1909,Odiel Defraeye,1912,24,3,8
569,1995,Jan Ullrich,1997,24,2,5
2574,1904,René Pottier,1906,27,2,5
2088,1933,Romain Maes,1935,23,2,5
2341,1922,Ottavio Bottecchia,1924,30,2,5
1421,1965,Roger Pingeon,1967,27,2,5
2511,1909,Octave Lapize,1910,23,1,3
2461,1912,Philippe Thys,1913,24,1,3
951,1982,Laurent Fignon,1983,23,1,3
1476,1965,Felice Gimondi,1965,23,0,2
2595,1904,Henri Cornet,1904,20,0,2
