,Date,Stage,Distance Covered in km,Type,Departure,Arrival,Category UCI,Name,Family Name,Nationality,Dual National,Native Country,NC-From,NC-To,Adopted Country,AC-From,AC-To,Age,Date of Birth,City of Birth,Country of Birth,Date of Death,City of Death,Country of Death,1st Innings From,1st Innings To,2nd Innings From,2nd Innings To,3rd Innings From,3rd Innings To,Career Span,1st Gap,2nd Innings Span,2nd Gap,3rd Innings Span,Total Career Span,Full Name
21,2019-07-28,Total Distance,0.0,General Classification,,,2.WT/WT/PT,Egan Arley,Bernal Gómez,Colombia ,N,,1997-01-13,,,,,22  years,1997-01-13,,,,,,2016,0,0,0,0,0,0,0,0,0,0,3,Egan Arley Bernal Gómez
45,2018-07-29,Total Distance,3369.0,General Classification,"    Noirmoutier-en-l'Ile (Pays de la Loire), France ","Paris (Ile-de-France), France",,Geraint,Thomas,Great Britain ,N,,1986-05-25,,,,,33  years,1986-05-25,Cardiff (Cardiff), Great Britain ,,,,2007,0,0,0,0,0,0,0,0,0,0,12,Geraint Thomas
69,2017-07-23,Total Distance,0.0,General Classification,,,2.WT/WT/PT,Chris,Froome,Great Britain ,Y,   KEN ,1985-05-20, 31-12-2007,   GBR ,2008-01-01,,34  years,1985-05-20,Nairobi (Nairobi Area), Kenya ,,,,2007,0,0,0,0,0,0,0,0,0,0,12,Chris Froome
93,2016-07-24,Total Distance,0.0,General Classification,,,2.WT/WT/PT,Chris,Froome,Great Britain ,Y,   KEN ,1985-05-20, 31-12-2007,   GBR ,2008-01-01,,34  years,1985-05-20,Nairobi (Nairobi Area), Kenya ,,,,2007,0,0,0,0,0,0,0,0,0,0,12,Chris Froome
121,2015-07-26,Total Distance,0.0,General Classification,,,2.WT/WT/HC,Chris,Froome,Great Britain ,Y,   KEN ,1985-05-20, 31-12-2007,   GBR ,2008-01-01,,34  years,1985-05-20,Nairobi (Nairobi Area), Kenya ,,,,2007,0,0,0,0,0,0,0,0,0,0,12,Chris Froome
143,2014-07-27,Total Distance,0.0,General Classification,,,2.WT/WT/HC,Vincenzo,Nibali,Italy ,N,,1984-11-14,,,,,34  years,1984-11-14,Messina (Sicilia), Italy ,,,,2005,0,0,0,0,0,0,0,0,0,0,14,Vincenzo Nibali
168,2013-07-21,Total Distance,0.0,General Classification,,,WT/WT/GT,Chris,Froome,Great Britain ,Y,   KEN ,1985-05-20, 31-12-2007,   GBR ,2008-01-01,,34  years,1985-05-20,Nairobi (Nairobi Area), Kenya ,,,,2007,0,0,0,0,0,0,0,0,0,0,12,Chris Froome
193,2012-07-22,Total Distance,0.0,General Classification,,,WT/WT/GT,Bradley,Wiggins,Great Britain ,N,,1980-04-28,,,,,39  years,1980-04-28,Gent (Oost-Vlaanderen), Belgium ,,,,2002,2016,0,0,0,0,14,0,0,0,0,14,Bradley Wiggins
219,2011-07-24,Total Distance,0.0,General Classification,,,2.WT/WT/HC,Cadel,Evans,Australia ,N,,1977-02-14,,,,,42  years,1977-02-14,Katherine (Northern Territory), Australia ,,,,2001,2015,0,0,0,0,14,0,0,0,0,14,Cadel Evans
243,2010-07-25,Total Distance,0.0,General Classification,,,2.WT/WT/HC,Alberto,Contador Velasco,Spain ,N,,1982-06-12,,,,,36  years,1982-06-12,Madrid (Madrid), Spain ,,,,2003,2017,0,0,0,0,14,0,0,0,0,14,Alberto Contador Velasco
